1.000000000000035749e+00 -9.873580609445535392e-14 1.095107661621163492e-13 -1.449075231832629486e-13 1.416223559464263342e-13 -1.000825941225807438e-13 5.250913352525373781e-14 -4.800983804469757786e-14 4.471645018568257794e-14 -3.832218216348249218e-14 2.375673696136637820e-14 -1.190283783056664861e-14 5.472647639718546187e-15 3.747351413467765668e-15 -9.754349332326613256e-15 1.445170841483429522e-14 -1.524632106772155140e-14 1.115281271366744451e-14 -1.147309234828621625e-14 1.195131981210433808e-14 -9.925409948126172644e-15 6.852972454419562613e-15 -9.196731073755545551e-15 1.014426908776981255e-14 -1.146025932631078932e-14 1.158379850933613142e-14 -1.061215495406637304e-14 8.621131830572009544e-15 -1.952070187034284676e-15
-1.021482927285130873e-13 1.000000000000235589e+00 -2.819119174780000891e-13 3.699154599514582583e-13 -3.557803292731616396e-13 2.619989582732760009e-13 -1.289865029580308262e-13 1.123784031385629765e-13 -1.066698595540141817e-13 8.419559714930802009e-14 -4.719531538195393069e-14 2.508927097691611450e-14 -1.098768813006972309e-14 -2.094029278755020785e-14 5.614215365070942251e-14 -7.739905319755710321e-14 8.016161703226780796e-14 -5.674095837919516705e-14 5.197425127358833715e-14 -4.718567910612130559e-14 3.499946888566577901e-14 -2.296673499705068874e-14 2.865173231064845178e-14 -3.767064858673904183e-14 4.536637619480397131e-14 -5.037024724835551107e-14 4.837300520258857604e-14 -3.525475777331848045e-14 9.349709157000550053e-15
1.042639356278749494e-13 -2.646235038624668975e-13 1.000000000000306644e+00 -3.742097348113632954e-13 3.503058429904383961e-13 -2.477524827669350396e-13 8.120601975369840137e-14 -4.559132323103049972e-14 3.975008412981652680e-14 -3.028570526130159810e-14 6.542790534315375887e-15 -8.016693834775597285e-15 3.400462534061537912e-15 6.728939936494237502e-14 -1.538171693285932508e-13 2.064448954634664197e-13 -1.974875448664421441e-13 1.410245656658003899e-13 -1.119566697731809351e-13 9.245510192032105016e-14 -6.431972024403811961e-14 4.630848114632664479e-14 -5.676748965069539336e-14 6.921943978465174606e-14 -8.561701969487498751e-14 1.008235706221565665e-13 -1.058350948510193768e-13 7.550175691790958108e-14 -2.383293156897884661e-14
-1.174372904686748584e-13 2.927582799755163457e-13 -2.583866917101098867e-13 1.000000000000210498e+00 -1.075206957981590889e-13 8.395396811149279471e-14 5.561319306213684609e-14 -8.339720610438131893e-14 7.222392005783703013e-14 -6.622758580128619489e-14 7.190771598297456493e-14 -3.349213087595198789e-14 2.054363635365122075e-14 -1.118217393298952119e-13 2.359403444664542772e-13 -3.043733017688075811e-13 2.774261126868071978e-13 -1.996700239312216457e-13 1.581017737748624541e-13 -1.208215464433353818e-13 7.680288451749256115e-14 -5.318217083827772809e-14 6.399032046134540185e-14 -7.798177723429798846e-14 1.052697619342271200e-13 -1.329368178334530774e-13 1.492357430593202888e-13 -1.057327082753452720e-13 3.489987699522717534e-14
1.243594686221198246e-13 -3.085308995770630815e-13 2.606270938662606387e-13 -1.046655428429037511e-13 1.000000000000067946e+00 -9.555506538890284485e-14 1.380953711507539507e-14 3.882116200232199427e-14 -5.932674087326420501e-14 5.442735943001609145e-14 -8.167300524384661428e-14 4.704788656889939941e-14 -3.573062489883639929e-14 1.086211608998667752e-13 -2.174616680111755382e-13 2.676393650182180830e-13 -2.296121495225979371e-13 1.655651641180822363e-13 -1.396797940315961040e-13 1.092346189793056165e-13 -5.809065786253483091e-14 2.681127126167238481e-14 -3.613979514643545168e-14 3.645013797697816009e-14 -6.013284087111012902e-14 8.512280188085877439e-14 -1.127332410850730760e-13 8.290369242080904935e-14 -2.746223812465467206e-14
-8.111244578357040264e-14 2.023940142848294816e-13 -1.457790343876288011e-13 2.181145059273778886e-14 -3.240625306233429405e-15 1.000000000000124123e+00 -1.094199519294293852e-13 6.202932010598327126e-14 -4.168788362053968441e-14 -1.032324817419946257e-14 7.121620312329462439e-14 -5.548179018162917781e-14 2.462516818729868672e-14 -5.549089709178283809e-14 1.140095513555103499e-13 -1.319140279046251486e-13 8.668395721059633019e-14 -5.277712219739131665e-14 5.624192264029012699e-14 -4.629518875296794620e-14 -3.432119550988501018e-15 3.094578647437701656e-14 -2.636590803859222454e-14 4.289660417255890993e-14 -3.369104976513006966e-14 1.725040459099833226e-14 2.234983373360183857e-14 -2.438787802748679896e-14 6.243135914961998067e-15
5.000139879723098674e-14 -1.212228675372328885e-13 7.758042004890178663e-14 2.085407423029265250e-14 1.790091876439753038e-14 -1.430104427203582914e-13 1.000000000000150990e+00 -1.568908529797006955e-13 1.096698363091284419e-13 -4.973579321884057774e-14 -5.332740373387126592e-14 4.014393270395855630e-14 -4.038305191903239759e-15 -1.178487717870820125e-14 -3.674832620181901977e-15 -3.267906846579762260e-15 4.594377680788587590e-14 -5.583692052933350960e-14 4.173106443267480183e-14 -4.207479640831439704e-14 7.909107607023839775e-14 -8.882828962266209681e-14 8.016442766007744457e-14 -1.127018350691981904e-13 1.158998098428171168e-13 -9.784890408590361034e-14 4.740525301456203742e-14 -2.471369272344662536e-14 1.183088316485337097e-14
-5.063388181390863654e-14 1.187123112650837954e-13 -6.427462862876973827e-14 -5.195050400462969178e-14 5.478114806060469609e-14 2.209263423892110911e-14 -9.123595822297578202e-14 1.000000000000078604e+00 -1.101766400633135372e-13 4.038452444842709825e-14 6.428023591645083293e-14 -7.033353381635225643e-14 3.258524408116992588e-14 9.719620498216709581e-15 -3.606320613682044252e-14 6.960427694142021905e-14 -1.201354751067809887e-13 1.178020168352060703e-13 -9.556138114993071054e-14 9.007677590462460188e-14 -1.094237693930450856e-13 1.033794278220527573e-13 -9.148186008379454546e-14 1.204715546843549864e-13 -1.245801417585574423e-13 1.054196943180306989e-13 -5.723595548608172010e-14 3.850819536260413210e-14 -1.817333873128671085e-14
4.769913721069534970e-14 -1.169041575290291963e-13 7.526224898233806536e-14 1.987527570056649105e-15 -1.192149247319771939e-14 -5.162451195577680517e-14 8.394831522051092490e-14 -1.245435315269359809e-13 1.000000000000137446e+00 -3.963931344403689725e-14 -7.049284339282058048e-14 6.974859329364944591e-14 -3.489279067941531465e-14 8.050674032109945346e-15 1.807935190778625304e-14 -5.895121899236439960e-14 1.059306783762413276e-13 -1.039758852648487445e-13 7.986676690698792206e-14 -7.149678046676583957e-14 7.663143136134525893e-14 -7.005439695393767881e-14 5.804539935153198622e-14 -9.182722441647630627e-14 1.018238327133494542e-13 -9.846533933890881489e-14 6.156955209103014504e-14 -4.750881630398747043e-14 2.221498743825470103e-14
-4.083227843575644072e-14 8.980136154277070433e-14 -4.763164173757032649e-14 -3.392817439607403575e-14 5.221861236713969713e-14 -3.353202445507555956e-14 -7.209605633142465299e-15 2.506633764601312835e-15 3.363987251730796485e-14 9.999999999998558931e-01 2.365646309622412137e-13 -2.217999513286463335e-13 1.460590548628909365e-13 -9.691298801011231861e-14 5.343610477875465510e-14 1.200266033087118644e-14 -6.861429485310087224e-14 7.283812085021581126e-14 -5.497498599101523073e-14 4.946685911080436230e-14 -4.728246061988454572e-14 4.330007394080438414e-14 -3.143139933256876819e-14 6.151315685403211976e-14 -7.113770649245464628e-14 7.919652287896806974e-14 -5.493638453308082672e-14 4.363872037795000055e-14 -1.990924336891018495e-14
