1.000000000000000888e+00 3.174785714813566772e-16 -9.901378869400651865e-17 -1.661370002235885431e-32 1.541863286904065533e-33 1.824147182570854178e-34 4.811653649285990342e-33 -1.142339946497843114e-34 -3.573010766978693819e-34 1.256040777061567289e-64 -1.021862403007842219e-65 2.589212430569418736e-17 -1.040053236037916520e-65 1.519854064154448092e-17
1.464090439331215569e-16 1.000000000000000666e+00 -6.007315953357941357e-17 -1.832873190475216493e-31 3.452969760085200253e-32 2.988340512673565280e-33 4.906017736308433033e-32 2.472143012986750875e-33 -4.198728194322979460e-33 -9.832150733959245898e-49 -2.366492073859427071e-49 8.842113828541463804e-17 9.240122635276397949e-49 5.190274262305140090e-17
-2.167464528380707482e-17 -1.882058853500766563e-16 1.000000000000000222e+00 -1.572981796212227529e-31 3.457456909000083056e-32 2.830024365769329740e-33 4.035036017260169519e-32 3.193625708249847779e-33 -4.254717528863733017e-33 -9.475765646256012964e-49 -2.280714047452805606e-49 -7.748491890883891987e-20 8.905196737081219157e-49 -4.548323942985355151e-20
-1.661370002235884884e-32 -1.832873190475216493e-31 -1.572981796212227529e-31 1.000000000000000666e+00 1.609989575232233930e-16 -4.057298451739281177e-17 -2.351085154902263283e-16 -2.514610464750643402e-16 6.202588227674313849e-18 -1.858437300763617327e-32 -5.851375087533814995e-33 -4.363775363870189298e-16 7.077560937698245241e-33 -9.662893191456094237e-17
1.541863286904064849e-33 3.452969760085199706e-32 3.457456909000083603e-32 1.609989575232234176e-16 9.999999999999990008e-01 1.930142179600541244e-16 -6.542035075012246277e-16 1.621665223288915734e-16 -2.205898311620369376e-16 2.701002507645534706e-17 3.040954622268869175e-17 1.208849806256177713e-16 -1.384979965163735569e-17 9.492233159921920368e-17
1.824147182570852681e-34 2.988340512673565280e-33 2.830024365769329740e-33 -4.057298451739280561e-17 1.930142179600541490e-16 9.999999999999982236e-01 3.288965736810286022e-17 -1.006098252598474087e-16 8.594173985694435884e-16 2.648935504044205900e-16 -8.704106276569813852e-18 1.304198292532673431e-17 -5.193196940339792952e-17 2.556339874921957863e-18
4.811653649285986921e-33 4.906017736308431391e-32 4.035036017260171708e-32 -4.000970798438933669e-16 -6.542035075012245291e-16 3.288965736810284173e-17 1.000000000000000888e+00 1.620089025791639363e-17 2.216802336223412699e-16 4.809358256633693609e-32 3.543268018674378722e-32 3.465925537712005615e-17 -1.589245974266427640e-32 5.714224517307232832e-17
-1.142339946497843755e-34 2.472143012986747796e-33 3.193625708249845042e-33 -2.514610464750643402e-16 -3.467928599508499822e-18 -1.006098252598474703e-16 1.620089025791642753e-17 1.000000000000000222e+00 2.846205203571478836e-16 3.491728775998271049e-17 -1.534382293649809565e-17 -5.596513898014438554e-18 -2.965111211063495515e-18 3.550331990115070952e-17
-3.573010766978692108e-34 -4.198728194322978776e-33 -4.254717528863732332e-33 6.202588227674290738e-18 -2.205898311620370115e-16 6.425103710654874005e-16 2.216802336223412699e-16 2.846205203571478836e-16 9.999999999999990008e-01 2.406304171829538450e-16 1.316883576734313422e-16 -8.142731072537876849e-17 -8.533121972272511737e-17 7.390730055151794669e-17
1.676300358711925326e-64 -9.832150733959245898e-49 -9.475765646256014483e-49 -1.858437300763617601e-32 2.701002507645534398e-17 2.648935504044205407e-16 4.809358256633693061e-32 3.491728775998271049e-17 2.406304171829538450e-16 9.999999999999998890e-01 2.668940307039676865e-16 1.605821705458495707e-32 1.855047535337125235e-18 -2.735666284752454262e-32
-7.418653724914490470e-66 -2.366492073859427830e-49 -2.280714047452805986e-49 -5.851375087533817048e-33 3.040954622268869175e-17 -8.704106276569827719e-18 3.543268018674379270e-32 -1.534382293649809565e-17 1.316883576734313668e-16 2.668940307039677358e-16 1.000000000000000222e+00 3.865038729393745048e-33 -1.630824515468283727e-16 -6.584452125241375680e-33
2.589212430569418736e-17 8.842113828541466269e-17 -7.748491890885302731e-20 -4.363775363870189298e-16 1.208849806256177713e-16 1.304198292532674202e-17 3.465925537712001301e-17 -5.596513898014425458e-18 -8.142731072537876849e-17 1.605821705458496255e-32 3.865038729393745048e-33 1.000000000000000444e+00 -1.509129578086740534e-32 4.671623981097146804e-16
-2.134488761869612140e-65 9.240122635276400987e-49 8.905196737081220676e-49 7.077560937698247978e-33 -1.384979965163735569e-17 -5.193196940339791719e-17 -1.589245974266427913e-32 -2.965111211063497056e-18 -8.533121972272512970e-17 1.855047535337125235e-18 -1.630824515468283727e-16 -1.509129578086740534e-32 1.000000000000000666e+00 2.570942273392566374e-32
1.519854064154447784e-17 5.190274262305139473e-17 -4.548323942984604640e-20 -9.662893191456094237e-17 9.492233159921921600e-17 2.556339874921953626e-18 5.714224517307232832e-17 3.550331990115070952e-17 7.390730055151794669e-17 -2.735666284752454262e-32 -6.584452125241375680e-33 5.079851163574157271e-16 2.570942273392566374e-32 1.000000000000000222e+00
